name,full_name,number,pos,group
M. Brink,Marten Brink,1,GK,GK
J. Rambert,Javien Rambert,2,D,DEF
J. Jordheim,Julian Jordheim,3,D,DEF
D. Toulson,Dan Toulson,4,D/MF,DEF
F. Bellisi,Federico Bellisi,5,MF,MID
N. Ferrer,Nacho Ferrer,6,D,DEF
K. Fukuda,Kira Fukuda,7,D,DEF
A. Ollé,Arnau Ollé,8,MF,MID
M. Takanashi,Michiharu Takanashi,9,F,ATT
L. Gill,Lennon Gill,10,F,ATT
M. Lenert,Matt Lenert,11,F,ATT
R. Vasko,Ryan Vasko,13,W,ATT
E. Emanuele,Ezequiel Emanuele,14,MF,MID
S. Bendvold,Stian Bendvold,15,MF/F,ATT
B. Baldwin,Ben Baldwin,16,D,DEF
R. Watson,Ryan Watson,17,D,DEF
H. Walker,Hogan Walker,18,MF,MID
M. Mihajlovic,Marko Mihajlovic,19,MF,MID
R. Ray,Ramsey Ray,20,MF,MID
H. Boer,Henrik Boer,21,F,ATT
B. Alibaruho,Bemanzi Alibaruho,22,MF,MID
L. Gasic,Luka Gasic,23,F,ATT
R. Cates,Reeves Cates,24,MF,MID
J. Watson,James Watson,25,D,DEF
P. Killeen,Paul Killeen,27,MF,MID
C. Duske,Charlie Duske,28,GK,GK
H. Drum,Hudson Drum,30,GK,GK
A. Butts,Aiden Butts,31,D,DEF
