player,cofc_goals,opp_goals,opponent,date,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
R. Watson,1,5,Boston Terriers,30.08.2025,3,3,0,0,2,12,8,4,1,0,26,18,69.2,0,17,9.0,9.4,0.0,18.4,players_2025_08_03_Wofford.pdf
B. Baldwin,1,5,Boston Terriers,30.08.2025,0,0,0,0,0,3,2,6,1,0,67,60,89.6,0,7,8.0,0.0,0.0,8.0,players_2025_08_03_Wofford.pdf
N. Gold,1,5,Boston Terriers,30.08.2025,1,1,0,0,1,8,1,6,2,0,61,55,90.2,0,17,8.5,3.2,0.0,11.7,players_2025_08_03_Wofford.pdf
J. Barrett,1,5,Boston Terriers,30.08.2025,0,0,0,0,0,7,4,1,1,0,26,17,65.4,0,11,4.0,0.0,0.0,4.0,players_2025_08_03_Wofford.pdf
I. Salifu,1,5,Boston Terriers,30.08.2025,1,1,0,0,0,7,4,2,0,1,27,25,92.6,0,16,5.0,3.0,0.0,8.0,players_2025_08_03_Wofford.pdf
B. Bagshaw,1,5,Boston Terriers,30.08.2025,1,1,1,0,4,3,2,2,1,0,27,17,63.0,0,11,4.0,4.3,0.0,8.3,players_2025_08_03_Wofford.pdf
E. White,1,5,Boston Terriers,30.08.2025,1,1,0,0,3,7,0,1,0,0,50,39,78.0,0,17,1.0,3.6,0.0,4.6,players_2025_08_03_Wofford.pdf
S. Bendvold,1,5,Boston Terriers,30.08.2025,1,1,0,0,0,7,2,1,0,1,25,19,76.0,0,19,3.0,3.0,0.0,6.0,players_2025_08_03_Wofford.pdf
M. Lenert,1,5,Boston Terriers,30.08.2025,1,1,1,0,5,6,1,2,0,1,27,19,70.4,0,21,3.5,4.5,0.0,8.0,players_2025_08_03_Wofford.pdf
P. Dashin,1,5,Boston Terriers,30.08.2025,0,0,0,0,1,3,0,1,0,0,21,18,85.7,0,10,1.0,0.2,0.0,1.2,players_2025_08_03_Wofford.pdf
H. Walker,1,5,Boston Terriers,30.08.2025,0,0,0,0,1,8,4,0,2,1,27,21,77.8,0,13,5.0,0.2,0.0,5.2,players_2025_08_03_Wofford.pdf
L. Gill,1,5,Boston Terriers,30.08.2025,0,0,0,0,0,3,1,1,1,0,15,9,60.0,0,8,2.5,0.0,0.0,2.5,players_2025_08_03_Wofford.pdf
D. Toulson,1,5,Boston Terriers,30.08.2025,0,0,0,0,2,10,7,2,2,1,29,24,82.8,0,11,8.5,0.4,0.0,8.9,players_2025_08_03_Wofford.pdf
R. Ray,1,5,Boston Terriers,30.08.2025,0,0,0,0,0,0,0,0,0,0,7,7,100.0,0,2,0.0,0.0,0.0,0.0,players_2025_08_03_Wofford.pdf
A. Duran,1,5,Boston Terriers,30.08.2025,1,1,1,0,2,2,0,0,0,0,11,7,63.6,0,3,0.0,3.9,0.0,3.9,players_2025_08_03_Wofford.pdf
J. Watson,1,5,Boston Terriers,30.08.2025,0,0,0,0,0,2,0,0,0,0,11,10,90.9,0,2,0.0,0.0,0.0,0.0,players_2025_08_03_Wofford.pdf
C. Crockford,1,5,Boston Terriers,30.08.2025,0,0,0,0,0,1,0,2,1,0,13,12,92.3,0,3,3.0,0.0,0.0,3.0,players_2025_08_03_Wofford.pdf
E. Emanuele,1,5,Boston Terriers,30.08.2025,1,1,1,0,0,0,0,2,0,0,9,8,88.9,0,0,2.0,3.5,0.0,5.5,players_2025_08_03_Wofford.pdf
J. Neumann,1,5,Boston Terriers,30.08.2025,0,0,0,0,1,1,1,0,0,0,2,1,50.0,0,3,0.5,0.2,0.0,0.7,players_2025_08_03_Wofford.pdf
R. Cates,1,5,Boston Terriers,30.08.2025,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0.0,0.0,0.0,players_2025_08_03_Wofford.pdf
