player,cofc_goals,opp_goals,opponent,date,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
C. Crockford,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,4,1,5,3,0,26,22,84.6,0,8,8.5,0.0,0.0,8.5,players_2025_09_02_NorthCarolina.pdf
B. Baldwin,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,2,1,4,5,0,21,18,85.7,0,6,9.5,0.0,0.0,9.5,players_2025_09_02_NorthCarolina.pdf
N. Gold,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,4,2,8,4,0,24,16,66.7,0,7,13.0,0.0,0.0,13.0,players_2025_09_02_NorthCarolina.pdf
J. Barrett,2,0,North Carolina Heels,02.09.2025,0,0,0,0,2,9,4,4,1,1,29,24,82.8,0,17,8.0,0.4,0.0,8.4,players_2025_09_02_NorthCarolina.pdf
B. Bagshaw,2,0,North Carolina Heels,02.09.2025,1,1,0,0,4,2,1,2,0,0,12,8,66.7,0,10,2.5,3.8,0.0,6.3,players_2025_09_02_NorthCarolina.pdf
S. Bendvold,2,0,North Carolina Heels,02.09.2025,0,0,0,1,0,4,1,6,3,1,24,20,83.3,0,13,10.5,0.5,0.0,11.0,players_2025_09_02_NorthCarolina.pdf
E. White,2,0,North Carolina Heels,02.09.2025,0,0,0,0,1,11,2,9,4,4,37,32,86.5,0,18,18.0,0.2,0.0,18.2,players_2025_09_02_NorthCarolina.pdf
H. Walker,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,6,4,2,0,0,24,15,62.5,0,12,4.0,0.0,0.0,4.0,players_2025_09_02_NorthCarolina.pdf
M. Lenert,2,0,North Carolina Heels,02.09.2025,2,2,1,0,2,21,8,1,1,1,30,20,66.7,0,31,7.0,6.9,0.0,13.9,players_2025_09_02_NorthCarolina.pdf
P. Dashin,2,0,North Carolina Heels,02.09.2025,2,2,1,0,2,7,3,1,0,0,11,9,81.8,0,22,2.5,6.9,0.0,9.4,players_2025_09_02_NorthCarolina.pdf
C. Hughes,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,4,3,2,0,0,8,4,50.0,0,10,3.5,0.0,0.0,3.5,players_2025_09_02_NorthCarolina.pdf
L. Gill,2,0,North Carolina Heels,02.09.2025,1,1,0,0,1,3,1,1,1,0,2,1,50.0,0,9,2.5,3.2,0.0,5.7,players_2025_09_02_NorthCarolina.pdf
R. Watson,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,6,2,5,6,0,11,8,72.7,0,12,12.0,0.0,0.0,12.0,players_2025_09_02_NorthCarolina.pdf
I. Salifu,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,4,2,0,0,0,7,5,71.4,0,9,1.0,0.0,0.0,1.0,players_2025_09_02_NorthCarolina.pdf
T. Nero,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,1,0,1,0,0,4,3,75.0,0,2,1.0,0.0,0.0,1.0,players_2025_09_02_NorthCarolina.pdf
J. Watson,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,1.0,0.0,0.0,1.0,players_2025_09_02_NorthCarolina.pdf
J. Neumann,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,4,1,1,0,1,2,0,0.0,0,5,2.5,0.0,0.0,2.5,players_2025_09_02_NorthCarolina.pdf
