player,opponent,date,cofc_goals,opp_goals,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
C. Crockford,Elon,2025_09_06,,,0,0,0,0,0,4,2,1,2,0,30,27,90.0,0,7,4.0,0.0,0.0,4.0,players_2025_09_06_Elon.pdf
B. Baldwin,Elon,2025_09_06,,,1,1,1,0,0,10,4,2,1,0,56,49,87.5,0,13,5.0,3.5,0.0,8.5,players_2025_09_06_Elon.pdf
N. Gold,Elon,2025_09_06,,,1,1,0,0,0,13,7,4,0,0,66,56,84.8,0,20,7.5,3.0,0.0,10.5,players_2025_09_06_Elon.pdf
J. Barrett,Elon,2025_09_06,,,0,0,0,0,0,4,3,1,3,0,52,39,75.0,0,11,5.5,0.0,0.0,5.5,players_2025_09_06_Elon.pdf
S. Bendvold,Elon,2025_09_06,,,0,0,0,0,0,7,2,1,0,0,29,15,51.7,0,15,2.0,0.0,0.0,2.0,players_2025_09_06_Elon.pdf
E. White,Elon,2025_09_06,,,1,1,0,0,0,7,4,4,0,1,35,27,77.1,0,19,7.0,3.0,0.0,10.0,players_2025_09_06_Elon.pdf
H. Walker,Elon,2025_09_06,,,0,0,0,0,1,8,1,1,0,0,15,14,93.3,0,13,1.5,0.2,0.0,1.7,players_2025_09_06_Elon.pdf
B. Bagshaw,Elon,2025_09_06,,,1,1,1,0,5,2,0,1,1,0,12,7,58.3,0,10,2.0,4.5,0.0,6.5,players_2025_09_06_Elon.pdf
M. Lenert,Elon,2025_09_06,,,3,3,0,0,6,8,3,2,2,1,23,19,82.6,0,15,6.5,10.2,0.0,16.7,players_2025_09_06_Elon.pdf
P. Dashin,Elon,2025_09_06,,,0,0,0,0,0,3,1,1,0,0,4,3,75.0,0,18,1.5,0.0,0.0,1.5,players_2025_09_06_Elon.pdf
T. Nero,Elon,2025_09_06,,,0,0,0,0,0,1,0,1,0,0,6,5,83.3,0,5,1.0,0.0,0.0,1.0,players_2025_09_06_Elon.pdf
R. Watson,Elon,2025_09_06,,,0,0,0,0,4,3,2,2,1,0,13,11,84.6,0,12,4.0,0.8,0.0,4.8,players_2025_09_06_Elon.pdf
C. Hughes,Elon,2025_09_06,,,0,0,0,1,1,4,3,0,1,0,13,9,69.2,0,8,2.5,0.7,0.0,3.2,players_2025_09_06_Elon.pdf
L. Gill,Elon,2025_09_06,,,0,0,0,0,4,10,1,1,0,0,23,17,73.9,0,18,1.5,0.8,0.0,2.3,players_2025_09_06_Elon.pdf
I. Salifu,Elon,2025_09_06,,,0,0,0,0,0,3,1,0,0,0,15,13,86.7,0,8,0.5,0.0,0.0,0.5,players_2025_09_06_Elon.pdf
E. Emanuele,Elon,2025_09_06,,,0,0,0,0,0,3,2,0,0,0,13,11,84.6,0,5,1.0,0.0,0.0,1.0,players_2025_09_06_Elon.pdf
