player,cofc_goals,opp_goals,opponent,date,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
C. Crockford,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,0,5,5,6,4,0,18,14,77.8,0,11,12.5,0.0,0.0,12.5,players_2025_09_10_USCUpstate.pdf
B. Baldwin,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,0,4,1,5,1,0,35,28,80.0,0,6,6.5,0.0,0.0,6.5,players_2025_09_10_USCUpstate.pdf
N. Gold,1,0,USC Upstate Spartans,10.09.2025,2,2,1,0,1,4,1,2,3,0,59,54,91.5,0,8,5.5,6.7,0.0,12.2,players_2025_09_10_USCUpstate.pdf
D. Toulson,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,1,11,9,6,4,1,42,38,90.5,0,17,15.5,0.2,0.0,15.7,players_2025_09_10_USCUpstate.pdf
B. Bagshaw,1,0,USC Upstate Spartans,10.09.2025,1,1,1,0,4,5,0,1,0,0,10,5,50.0,0,8,1.0,4.3,0.0,5.3,players_2025_09_10_USCUpstate.pdf
I. Salifu,1,0,USC Upstate Spartans,10.09.2025,1,1,1,1,3,6,2,2,1,0,37,21,56.8,0,12,4.0,4.6,0.0,8.6,players_2025_09_10_USCUpstate.pdf
E. White,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,2,14,4,6,5,1,70,60,85.7,0,26,14.0,0.4,0.0,14.4,players_2025_09_10_USCUpstate.pdf
H. Walker,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,1,1,0,4,1,0,22,22,100.0,0,10,5.0,0.2,0.0,5.2,players_2025_09_10_USCUpstate.pdf
M. Lenert,1,0,USC Upstate Spartans,10.09.2025,3,3,2,1,4,8,3,1,0,1,28,21,75.0,0,15,3.5,11.3,0.0,14.8,players_2025_09_10_USCUpstate.pdf
L. Gill,1,0,USC Upstate Spartans,10.09.2025,2,2,1,0,1,5,1,1,0,0,10,6,60.0,0,14,1.5,6.7,0.0,8.2,players_2025_09_10_USCUpstate.pdf
C. Hughes,1,0,USC Upstate Spartans,10.09.2025,1,1,0,0,2,2,0,0,0,0,17,13,76.5,0,9,0.0,3.4,0.0,3.4,players_2025_09_10_USCUpstate.pdf
S. Bendvold,1,0,USC Upstate Spartans,10.09.2025,2,2,1,0,7,6,1,5,1,1,35,22,62.9,0,16,7.5,7.9,0.0,15.4,players_2025_09_10_USCUpstate.pdf
R. Watson,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,2,9,5,6,6,0,24,15,62.5,0,14,14.5,0.4,0.0,14.9,players_2025_09_10_USCUpstate.pdf
P. Dashin,1,0,USC Upstate Spartans,10.09.2025,2,2,0,0,1,3,1,0,0,0,11,11,100.0,0,11,0.5,6.2,0.0,6.7,players_2025_09_10_USCUpstate.pdf
J. Barrett,1,0,USC Upstate Spartans,10.09.2025,1,1,0,0,1,4,0,6,3,0,14,10,71.4,0,4,9.0,3.2,0.0,12.2,players_2025_09_10_USCUpstate.pdf
J. Watson,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,players_2025_09_10_USCUpstate.pdf
