player,cofc_goals,opp_goals,opponent,date,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
C. Crockford,0,0,Campbell Camels,13.09.2025,0,0,0,0,0,5,1,2,2,2,9,8,88.9,0,10,6.5,0.0,0.0,6.5,players_2025_09_13_Campbell.pdf
B. Baldwin,0,0,Campbell Camels,13.09.2025,1,1,1,0,0,7,5,5,8,0,29,22,75.9,0,10,15.5,3.5,0.0,19.0,players_2025_09_13_Campbell.pdf
N. Gold,0,0,Campbell Camels,13.09.2025,0,0,0,0,0,12,5,6,5,1,50,33,66.0,0,19,14.5,0.0,0.0,14.5,players_2025_09_13_Campbell.pdf
D. Toulson,0,0,Campbell Camels,13.09.2025,2,2,0,0,1,14,7,8,6,1,39,30,76.9,0,26,18.5,6.2,0.0,24.7,players_2025_09_13_Campbell.pdf
I. Salifu,0,0,Campbell Camels,13.09.2025,0,0,0,0,1,7,5,2,1,0,13,7,53.8,0,14,5.5,0.2,0.0,5.7,players_2025_09_13_Campbell.pdf
E. White,0,0,Campbell Camels,13.09.2025,1,1,1,1,0,6,4,7,4,4,38,34,89.5,0,17,17.0,4.0,0.0,21.0,players_2025_09_13_Campbell.pdf
H. Walker,0,0,Campbell Camels,13.09.2025,0,0,0,1,0,10,7,1,0,0,27,23,85.2,0,21,4.5,0.5,0.0,5.0,players_2025_09_13_Campbell.pdf
B. Bagshaw,0,0,Campbell Camels,13.09.2025,2,2,1,0,4,7,1,2,0,0,14,8,57.1,0,12,2.5,7.3,0.0,9.8,players_2025_09_13_Campbell.pdf
L. Gill,0,0,Campbell Camels,13.09.2025,0,0,0,0,1,6,1,0,0,0,15,12,80.0,0,21,0.5,0.2,0.0,0.7,players_2025_09_13_Campbell.pdf
M. Lenert,0,0,Campbell Camels,13.09.2025,3,3,1,0,2,9,3,1,2,0,47,31,66.0,0,20,4.5,9.9,0.0,14.4,players_2025_09_13_Campbell.pdf
C. Hughes,0,0,Campbell Camels,13.09.2025,0,0,0,1,0,4,4,2,0,0,7,5,71.4,0,8,4.0,0.5,0.0,4.5,players_2025_09_13_Campbell.pdf
P. Dashin,0,0,Campbell Camels,13.09.2025,2,2,0,0,0,4,1,0,0,0,10,6,60.0,0,16,0.5,6.0,0.0,6.5,players_2025_09_13_Campbell.pdf
S. Bendvold,0,0,Campbell Camels,13.09.2025,1,1,0,0,1,10,2,5,0,0,36,24,66.7,0,18,6.0,3.2,0.0,9.2,players_2025_09_13_Campbell.pdf
R. Watson,0,0,Campbell Camels,13.09.2025,0,0,0,0,0,5,3,3,2,0,13,7,53.8,0,9,6.5,0.0,0.0,6.5,players_2025_09_13_Campbell.pdf
