player,cofc_goals,opp_goals,opponent,date,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
C. Crockford,3,1,William & Mary Tribe,27.09.2025,0,0,0,0,0,2,1,1,0,0,15,11,73.3,0,7,1.5,0.0,0.0,1.5,players_2025_09_27_WilliamMary.pdf
B. Baldwin,3,1,William & Mary Tribe,27.09.2025,0,0,0,0,0,8,6,4,3,0,33,25,75.8,0,14,10.0,0.0,0.0,10.0,players_2025_09_27_WilliamMary.pdf
N. Gold,3,1,William & Mary Tribe,27.09.2025,0,0,0,0,0,9,5,3,1,0,50,47,94.0,0,13,6.5,0.0,0.0,6.5,players_2025_09_27_WilliamMary.pdf
D. Toulson,3,1,William & Mary Tribe,27.09.2025,0,0,0,1,1,12,8,9,3,0,47,36,76.6,0,19,16.0,0.7,0.0,16.7,players_2025_09_27_WilliamMary.pdf
E. White,3,1,William & Mary Tribe,27.09.2025,1,1,1,2,3,13,4,6,2,0,39,32,82.1,0,27,10.0,5.1,0.0,15.1,players_2025_09_27_WilliamMary.pdf
C. Hughes,3,1,William & Mary Tribe,27.09.2025,1,1,0,3,3,6,2,1,1,0,25,17,68.0,0,11,3.0,5.1,0.0,8.1,players_2025_09_27_WilliamMary.pdf
I. Salifu,3,1,William & Mary Tribe,27.09.2025,0,0,0,0,2,3,1,3,0,0,20,17,85.0,0,14,3.5,0.4,0.0,3.9,players_2025_09_27_WilliamMary.pdf
S. Bendvold,3,1,William & Mary Tribe,27.09.2025,4,4,1,1,5,11,2,5,0,0,17,10,58.8,0,28,6.0,14.0,0.0,20.0,players_2025_09_27_WilliamMary.pdf
M. Lenert,3,1,William & Mary Tribe,27.09.2025,3,3,2,0,10,7,2,3,2,1,30,24,80.0,0,23,7.0,12.0,0.0,19.0,players_2025_09_27_WilliamMary.pdf
P. Dashin,3,1,William & Mary Tribe,27.09.2025,3,3,1,0,0,6,2,0,0,0,5,4,80.0,0,26,1.0,9.5,0.0,10.5,players_2025_09_27_WilliamMary.pdf
H. Walker,3,1,William & Mary Tribe,27.09.2025,1,1,0,0,2,4,1,1,1,0,28,21,75.0,0,14,2.5,3.4,0.0,5.9,players_2025_09_27_WilliamMary.pdf
R. Watson,3,1,William & Mary Tribe,27.09.2025,0,0,0,1,1,8,4,10,1,1,33,26,78.8,0,15,14.0,0.7,0.0,14.7,players_2025_09_27_WilliamMary.pdf
B. Bagshaw,3,1,William & Mary Tribe,27.09.2025,4,4,2,0,3,3,1,1,0,0,10,8,80.0,0,9,1.5,13.6,0.0,15.1,players_2025_09_27_WilliamMary.pdf
L. Gill,3,1,William & Mary Tribe,27.09.2025,2,2,1,0,0,2,0,1,0,0,18,12,66.7,0,16,1.0,6.5,0.0,7.5,players_2025_09_27_WilliamMary.pdf
J. Jordheim,3,1,William & Mary Tribe,27.09.2025,0,0,0,0,0,5,3,1,0,0,3,3,100.0,0,6,2.5,0.0,0.0,2.5,players_2025_09_27_WilliamMary.pdf
J. Watson,3,1,William & Mary Tribe,27.09.2025,0,0,0,0,0,0,0,1,0,0,2,2,100.0,0,1,1.0,0.0,0.0,1.0,players_2025_09_27_WilliamMary.pdf
J. Barrett,3,1,William & Mary Tribe,27.09.2025,0,0,0,0,0,2,1,0,0,1,1,0,0.0,0,5,1.5,0.0,0.0,1.5,players_2025_09_27_WilliamMary.pdf
