player,cofc_goals,opp_goals,opponent,date,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
N. Gold,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,0,5,4,4,2,1,37,30,81.1,0,8,9.0,0.0,0.0,9.0,players_2025_10_08_NorthFlorida.pdf
B. Baldwin,0,3,North Florida Ospreyes,08.10.2025,1,1,0,0,0,6,3,5,2,0,61,51,83.6,0,8,8.5,3.0,0.0,11.5,players_2025_10_08_NorthFlorida.pdf
J. Jordheim,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,0,6,3,6,1,0,45,37,82.2,0,7,8.5,0.0,0.0,8.5,players_2025_10_08_NorthFlorida.pdf
D. Toulson,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,0,5,3,3,0,0,39,35,89.7,0,9,4.5,0.0,0.0,4.5,players_2025_10_08_NorthFlorida.pdf
B. Bagshaw,0,3,North Florida Ospreyes,08.10.2025,3,3,1,0,3,4,1,1,1,0,29,20,69.0,0,11,2.5,10.1,0.0,12.6,players_2025_10_08_NorthFlorida.pdf
S. Bendvold,0,3,North Florida Ospreyes,08.10.2025,2,2,1,0,7,11,2,3,0,0,25,19,76.0,0,16,4.0,7.9,0.0,11.9,players_2025_10_08_NorthFlorida.pdf
E. Emanuele,0,3,North Florida Ospreyes,08.10.2025,1,1,0,0,0,9,6,4,1,1,38,34,89.5,0,11,9.0,3.0,0.0,12.0,players_2025_10_08_NorthFlorida.pdf
H. Walker,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,0,7,4,0,1,0,22,21,95.5,0,12,3.0,0.0,0.0,3.0,players_2025_10_08_NorthFlorida.pdf
M. Lenert,0,3,North Florida Ospreyes,08.10.2025,3,3,1,0,3,7,1,2,0,0,32,24,75.0,0,12,2.5,10.1,0.0,12.6,players_2025_10_08_NorthFlorida.pdf
L. Gill,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,1,3,1,1,0,0,13,9,69.2,0,15,1.5,0.2,0.0,1.7,players_2025_10_08_NorthFlorida.pdf
E. White,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,7,9,5,0,0,0,36,30,83.3,0,21,2.5,1.4,0.0,3.9,players_2025_10_08_NorthFlorida.pdf
R. Watson,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,0,5,0,5,3,0,20,15,75.0,0,5,8.0,0.0,0.0,8.0,players_2025_10_08_NorthFlorida.pdf
C. Hughes,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,1,4,1,2,0,0,11,4,36.4,0,5,2.5,0.2,0.0,2.7,players_2025_10_08_NorthFlorida.pdf
I. Salifu,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,0,1,1,2,0,0,21,18,85.7,0,2,2.5,0.0,0.0,2.5,players_2025_10_08_NorthFlorida.pdf
J. Barrett,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,0,2,2,0,0,0,14,13,92.9,0,7,1.0,0.0,0.0,1.0,players_2025_10_08_NorthFlorida.pdf
J. Watson,0,3,North Florida Ospreyes,08.10.2025,1,1,0,0,0,2,1,5,3,0,16,16,100.0,0,3,8.5,3.0,0.0,11.5,players_2025_10_08_NorthFlorida.pdf
C. Crockford,0,3,North Florida Ospreyes,08.10.2025,0,0,0,0,0,0,0,0,0,0,4,2,50.0,0,2,0.0,0.0,0.0,0.0,players_2025_10_08_NorthFlorida.pdf
