player,opponent,date,cofc_goals,opp_goals,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
R. Watson,William Mary,2025_10_25,,,0,0,0,0,0,10,9,7,0,0,22,16,72.7,0,17,11.5,0.0,0.0,11.5,players_2025_10_25_WilliamMary.pdf
N. Gold,William Mary,2025_10_25,,,0,0,0,1,0,9,6,5,4,1,26,22,84.6,0,12,13.0,0.5,0.0,13.5,players_2025_10_25_WilliamMary.pdf
B. Baldwin,William Mary,2025_10_25,,,0,0,0,0,0,5,4,8,3,0,28,22,78.6,0,10,13.0,0.0,0.0,13.0,players_2025_10_25_WilliamMary.pdf
J. Jordheim,William Mary,2025_10_25,,,1,1,0,0,0,13,7,9,8,1,30,22,73.3,0,20,21.5,3.0,0.0,24.5,players_2025_10_25_WilliamMary.pdf
H. Walker,William Mary,2025_10_25,,,1,1,1,0,0,13,7,3,1,0,34,26,76.5,0,19,7.5,3.5,0.0,11.0,players_2025_10_25_WilliamMary.pdf
E. White,William Mary,2025_10_25,,,1,1,1,0,0,15,11,10,2,2,52,39,75.0,0,30,19.5,3.5,0.0,23.0,players_2025_10_25_WilliamMary.pdf
B. Bagshaw,William Mary,2025_10_25,,,0,0,0,0,0,3,2,3,1,0,9,8,88.9,0,11,5.0,0.0,0.0,5.0,players_2025_10_25_WilliamMary.pdf
D. Toulson,William Mary,2025_10_25,,,0,0,0,0,0,12,7,5,2,0,29,17,58.6,0,18,10.5,0.0,0.0,10.5,players_2025_10_25_WilliamMary.pdf
L. Gill,William Mary,2025_10_25,,,3,3,2,0,2,6,1,0,0,0,20,12,60.0,0,15,0.5,10.4,0.0,10.9,players_2025_10_25_WilliamMary.pdf
M. Lenert,William Mary,2025_10_25,,,1,1,0,0,3,9,2,2,1,0,10,4,40.0,0,27,4.0,3.6,0.0,7.6,players_2025_10_25_WilliamMary.pdf
C. Hughes,William Mary,2025_10_25,,,0,0,0,0,1,5,3,0,0,0,8,6,75.0,0,12,1.5,0.2,0.0,1.7,players_2025_10_25_WilliamMary.pdf
S. Bendvold,William Mary,2025_10_25,,,2,2,1,0,4,9,3,2,2,0,13,10,76.9,0,12,5.5,7.3,0.0,12.8,players_2025_10_25_WilliamMary.pdf
I. Salifu,William Mary,2025_10_25,,,0,0,0,0,1,2,2,6,0,0,13,7,53.8,0,6,7.0,0.2,0.0,7.2,players_2025_10_25_WilliamMary.pdf
P. Dashin,William Mary,2025_10_25,,,0,0,0,1,0,3,1,1,1,0,12,9,75.0,0,10,2.5,0.5,0.0,3.0,players_2025_10_25_WilliamMary.pdf
C. Crockford,William Mary,2025_10_25,,,0,0,0,1,0,4,4,3,3,1,9,5,55.6,0,7,9.0,0.5,0.0,9.5,players_2025_10_25_WilliamMary.pdf
J. Barrett,William Mary,2025_10_25,,,1,1,0,0,0,3,1,5,0,0,6,3,50.0,0,5,5.5,3.0,0.0,8.5,players_2025_10_25_WilliamMary.pdf
E. Emanuele,William Mary,2025_10_25,,,0,0,0,0,2,2,0,1,0,0,8,3,37.5,0,9,1.0,0.4,0.0,1.4,players_2025_10_25_WilliamMary.pdf
J. Watson,William Mary,2025_10_25,,,0,0,0,0,0,1,0,1,2,0,1,1,100.0,0,1,3.0,0.0,0.0,3.0,players_2025_10_25_WilliamMary.pdf
