player,cofc_goals,opp_goals,opponent,date,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
R. Watson,2,3,South Carolina Gamecocks,22.08.2025,0,0,0,1,2,8,5,4,2,1,18,12,66.7,0,12,9.5,0.9,0.0,10.4,players_2025_08_22_SouthCarolina.pdf
N. Gold,2,3,South Carolina Gamecocks,22.08.2025,1,1,0,0,0,14,7,6,6,0,47,41,87.2,0,19,15.5,3.0,0.0,18.5,players_2025_08_22_SouthCarolina.pdf
T. Nero,2,3,South Carolina Gamecocks,22.08.2025,0,0,0,0,0,5,2,9,5,1,41,34,82.9,0,9,16.0,0.0,0.0,16.0,players_2025_08_22_SouthCarolina.pdf
J. Barrett,2,3,South Carolina Gamecocks,22.08.2025,0,0,0,0,0,6,3,3,3,0,46,38,82.6,0,15,7.5,0.0,0.0,7.5,players_2025_08_22_SouthCarolina.pdf
E. White,2,3,South Carolina Gamecocks,22.08.2025,2,2,0,2,2,11,6,2,0,3,35,23,65.7,0,18,8.0,7.4,0.0,15.4,players_2025_08_22_SouthCarolina.pdf
I. Salifu,2,3,South Carolina Gamecocks,22.08.2025,0,0,0,0,0,8,4,3,0,1,45,35,77.8,0,16,6.0,0.0,0.0,6.0,players_2025_08_22_SouthCarolina.pdf
S. Bendvold,2,3,South Carolina Gamecocks,22.08.2025,2,2,0,0,2,6,2,0,0,0,17,15,88.2,0,8,1.0,6.4,0.0,7.4,players_2025_08_22_SouthCarolina.pdf
B. Bagshaw,2,3,South Carolina Gamecocks,22.08.2025,4,4,1,0,3,8,4,0,0,0,18,13,72.2,0,12,2.0,13.1,0.0,15.1,players_2025_08_22_SouthCarolina.pdf
P. Dashin,2,3,South Carolina Gamecocks,22.08.2025,1,1,0,1,0,4,2,0,1,2,12,8,66.7,0,15,4.0,3.5,0.0,7.5,players_2025_08_22_SouthCarolina.pdf
M. Lenert,2,3,South Carolina Gamecocks,22.08.2025,1,1,0,1,3,6,0,2,0,0,26,19,73.1,0,15,2.0,4.1,0.0,6.1,players_2025_08_22_SouthCarolina.pdf
C. Hughes,2,3,South Carolina Gamecocks,22.08.2025,0,0,0,1,1,6,4,0,0,0,6,4,66.7,0,9,2.0,0.7,0.0,2.7,players_2025_08_22_SouthCarolina.pdf
L. Gill,2,3,South Carolina Gamecocks,22.08.2025,0,0,0,0,2,5,1,2,0,0,17,12,70.6,0,9,2.5,0.4,0.0,2.9,players_2025_08_22_SouthCarolina.pdf
H. Walker,2,3,South Carolina Gamecocks,22.08.2025,1,1,1,0,0,0,0,1,0,0,13,11,84.6,0,1,1.0,3.5,0.0,4.5,players_2025_08_22_SouthCarolina.pdf
R. Ray,2,3,South Carolina Gamecocks,22.08.2025,0,0,0,0,0,2,2,0,0,0,8,7,87.5,0,3,1.0,0.0,0.0,1.0,players_2025_08_22_SouthCarolina.pdf
A. Duran,2,3,South Carolina Gamecocks,22.08.2025,0,0,0,0,0,2,1,0,0,0,6,4,66.7,0,2,0.5,0.0,0.0,0.5,players_2025_08_22_SouthCarolina.pdf
