player,opponent,date,cofc_goals,opp_goals,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
R. Watson,Davidson,2025_08_26,,,0,0,0,0,1,4,2,2,1,0,24,16,66.7,0,10,4.0,0.2,0.0,4.2,players_2025_08_26_Davidson.pdf
N. Gold,Davidson,2025_08_26,,,1,1,0,0,1,16,4,5,2,1,82,76,92.7,0,19,10.0,3.2,0.0,13.2,players_2025_08_26_Davidson.pdf
T. Nero,Davidson,2025_08_26,,,0,0,0,0,0,4,3,3,0,0,37,30,81.1,0,8,4.5,0.0,0.0,4.5,players_2025_08_26_Davidson.pdf
J. Barrett,Davidson,2025_08_26,,,0,0,0,0,1,6,1,2,0,0,46,38,82.6,0,10,2.5,0.2,0.0,2.7,players_2025_08_26_Davidson.pdf
E. White,Davidson,2025_08_26,,,0,0,0,0,0,6,4,8,2,1,49,39,79.6,0,16,13.0,0.0,0.0,13.0,players_2025_08_26_Davidson.pdf
I. Salifu,Davidson,2025_08_26,,,0,0,0,0,0,3,1,0,0,0,43,37,86.0,0,10,0.5,0.0,0.0,0.5,players_2025_08_26_Davidson.pdf
S. Bendvold,Davidson,2025_08_26,,,1,1,1,0,3,3,1,2,2,0,18,13,72.2,0,10,4.5,4.1,0.0,8.6,players_2025_08_26_Davidson.pdf
B. Bagshaw,Davidson,2025_08_26,,,1,1,1,1,5,7,0,3,0,0,14,6,42.9,0,12,3.0,5.0,0.0,8.0,players_2025_08_26_Davidson.pdf
P. Dashin,Davidson,2025_08_26,,,0,0,0,0,0,7,0,0,0,0,6,2,33.3,0,18,0.0,0.0,0.0,0.0,players_2025_08_26_Davidson.pdf
M. Lenert,Davidson,2025_08_26,,,0,0,0,0,4,7,0,2,1,1,12,8,66.7,0,15,4.0,0.8,0.0,4.8,players_2025_08_26_Davidson.pdf
C. Hughes,Davidson,2025_08_26,,,0,0,0,1,4,4,2,1,0,0,18,11,61.1,0,10,2.0,1.3,0.0,3.3,players_2025_08_26_Davidson.pdf
H. Walker,Davidson,2025_08_26,,,1,1,0,1,1,6,2,0,0,0,41,38,92.7,0,10,1.0,3.7,0.0,4.7,players_2025_08_26_Davidson.pdf
L. Gill,Davidson,2025_08_26,,,4,4,2,1,1,6,4,2,0,0,17,12,70.6,0,17,4.0,13.7,0.0,17.7,players_2025_08_26_Davidson.pdf
B. Baldwin,Davidson,2025_08_26,,,1,1,0,0,0,3,2,0,0,0,27,22,81.5,0,6,1.0,3.0,0.0,4.0,players_2025_08_26_Davidson.pdf
R. Ray,Davidson,2025_08_26,,,0,0,0,0,1,4,1,1,1,0,21,14,66.7,0,6,2.5,0.2,0.0,2.7,players_2025_08_26_Davidson.pdf
