player,opponent,date,cofc_goals,opp_goals,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
B. Baldwin,Furman,2025_09_17,,,0,0,0,0,0,2,0,5,1,0,32,27,84.4,0,3,6.0,0.0,0.0,6.0,players_2025_09_17_Furman.pdf
N. Gold,Furman,2025_09_17,,,1,1,1,0,0,4,1,5,4,1,36,26,72.2,0,12,10.5,3.5,0.0,14.0,players_2025_09_17_Furman.pdf
D. Toulson,Furman,2025_09_17,,,0,0,0,0,0,7,4,4,2,2,25,17,68.0,0,14,10.0,0.0,0.0,10.0,players_2025_09_17_Furman.pdf
C. Crockford,Furman,2025_09_17,,,1,1,1,0,0,2,0,4,4,0,32,25,78.1,0,11,8.0,3.5,0.0,11.5,players_2025_09_17_Furman.pdf
S. Bendvold,Furman,2025_09_17,,,0,0,0,0,0,4,1,1,0,1,29,21,72.4,0,13,2.5,0.0,0.0,2.5,players_2025_09_17_Furman.pdf
E. White,Furman,2025_09_17,,,0,0,0,0,0,8,4,7,2,3,34,28,82.4,0,12,14.0,0.0,0.0,14.0,players_2025_09_17_Furman.pdf
H. Walker,Furman,2025_09_17,,,0,0,0,0,0,6,1,3,1,0,25,18,72.0,0,15,4.5,0.0,0.0,4.5,players_2025_09_17_Furman.pdf
M. Lenert,Furman,2025_09_17,,,2,2,0,0,2,6,2,3,0,0,23,14,60.9,0,16,4.0,6.4,0.0,10.4,players_2025_09_17_Furman.pdf
B. Bagshaw,Furman,2025_09_17,,,0,0,0,0,2,6,4,0,0,0,25,19,76.0,0,17,2.0,0.4,0.0,2.4,players_2025_09_17_Furman.pdf
L. Gill,Furman,2025_09_17,,,0,0,0,0,0,3,1,0,0,0,9,7,77.8,0,9,0.5,0.0,0.0,0.5,players_2025_09_17_Furman.pdf
C. Hughes,Furman,2025_09_17,,,0,0,0,0,0,2,2,1,0,0,4,4,100.0,0,6,2.0,0.0,0.0,2.0,players_2025_09_17_Furman.pdf
I. Salifu,Furman,2025_09_17,,,1,1,0,0,1,1,1,0,0,0,7,4,57.1,0,6,0.5,3.2,0.0,3.7,players_2025_09_17_Furman.pdf
P. Dashin,Furman,2025_09_17,,,0,0,0,0,0,8,2,1,0,0,13,9,69.2,0,23,2.0,0.0,0.0,2.0,players_2025_09_17_Furman.pdf
R. Watson,Furman,2025_09_17,,,0,0,0,0,0,4,2,2,0,0,6,2,33.3,0,7,3.0,0.0,0.0,3.0,players_2025_09_17_Furman.pdf
J. Watson,Furman,2025_09_17,,,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0,3,1.0,0.0,0.0,1.0,players_2025_09_17_Furman.pdf
J. Jordheim,Furman,2025_09_17,,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,2,0.0,0.0,0.0,0.0,players_2025_09_17_Furman.pdf
