player,opponent,date,cofc_goals,opp_goals,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
C. Crockford,Campbell,2025_10_05,,,2,2,0,1,1,10,6,4,8,1,18,16,88.9,0,11,16.0,6.7,0.0,22.7,players_2025_10_05_Campbell.pdf
B. Baldwin,Campbell,2025_10_05,,,0,0,0,0,0,9,3,5,9,0,43,34,79.1,0,12,15.5,0.0,0.0,15.5,players_2025_10_05_Campbell.pdf
N. Gold,Campbell,2025_10_05,,,0,0,0,0,1,11,2,8,1,0,52,40,76.9,0,16,10.0,0.2,0.0,10.2,players_2025_10_05_Campbell.pdf
D. Toulson,Campbell,2025_10_05,,,1,1,0,0,0,7,5,5,5,1,43,34,79.1,0,14,13.5,3.0,0.0,16.5,players_2025_10_05_Campbell.pdf
E. White,Campbell,2025_10_05,,,0,0,0,0,6,11,4,1,1,1,30,24,80.0,0,22,5.0,1.2,0.0,6.2,players_2025_10_05_Campbell.pdf
B. Bagshaw,Campbell,2025_10_05,,,1,1,1,0,4,8,1,1,1,0,25,16,64.0,0,14,2.5,4.3,0.0,6.8,players_2025_10_05_Campbell.pdf
S. Bendvold,Campbell,2025_10_05,,,2,2,1,1,5,5,1,5,0,0,30,20,66.7,0,19,5.5,8.0,0.0,13.5,players_2025_10_05_Campbell.pdf
H. Walker,Campbell,2025_10_05,,,0,0,0,0,1,9,3,1,1,0,23,18,78.3,0,15,3.5,0.2,0.0,3.7,players_2025_10_05_Campbell.pdf
M. Lenert,Campbell,2025_10_05,,,1,1,1,0,7,8,1,4,3,0,24,17,70.8,0,19,7.5,4.9,0.0,12.4,players_2025_10_05_Campbell.pdf
P. Dashin,Campbell,2025_10_05,,,2,2,1,0,2,6,0,0,0,0,11,7,63.6,0,13,0.0,6.9,0.0,6.9,players_2025_10_05_Campbell.pdf
I. Salifu,Campbell,2025_10_05,,,0,0,0,0,0,0,0,0,0,0,5,3,60.0,0,2,0.0,0.0,0.0,0.0,players_2025_10_05_Campbell.pdf
L. Gill,Campbell,2025_10_05,,,1,1,1,0,1,6,0,3,0,0,26,19,73.1,0,19,3.0,3.7,0.0,6.7,players_2025_10_05_Campbell.pdf
C. Hughes,Campbell,2025_10_05,,,0,0,0,0,0,2,1,0,0,0,7,4,57.1,0,4,0.5,0.0,0.0,0.5,players_2025_10_05_Campbell.pdf
J. Jordheim,Campbell,2025_10_05,,,0,0,0,0,2,11,4,2,3,2,15,10,66.7,0,13,9.0,0.4,0.0,9.4,players_2025_10_05_Campbell.pdf
R. Watson,Campbell,2025_10_05,,,0,0,0,0,2,8,4,2,1,0,10,4,40.0,0,10,5.0,0.4,0.0,5.4,players_2025_10_05_Campbell.pdf
J. Watson,Campbell,2025_10_05,,,0,0,0,0,0,4,3,4,2,1,12,10,83.3,0,4,8.5,0.0,0.0,8.5,players_2025_10_05_Campbell.pdf
E. Emanuele,Campbell,2025_10_05,,,0,0,0,0,1,4,2,2,1,0,9,6,66.7,0,7,4.0,0.2,0.0,4.2,players_2025_10_05_Campbell.pdf
