player,opponent,date,cofc_goals,opp_goals,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
R. Watson,Winthrop,2025_10_15,,,0,0,0,1,1,6,4,6,5,1,13,7,53.8,0,11,14.0,0.7,0.0,14.7,players_2025_10_15_Winthrop.pdf
N. Gold,Winthrop,2025_10_15,,,0,0,0,0,0,14,9,5,2,0,32,25,78.1,0,19,11.5,0.0,0.0,11.5,players_2025_10_15_Winthrop.pdf
B. Baldwin,Winthrop,2025_10_15,,,0,0,0,0,0,7,3,6,5,0,35,27,77.1,0,9,12.5,0.0,0.0,12.5,players_2025_10_15_Winthrop.pdf
J. Jordheim,Winthrop,2025_10_15,,,0,0,0,0,0,7,4,4,1,0,20,13,65.0,0,10,7.0,0.0,0.0,7.0,players_2025_10_15_Winthrop.pdf
D. Toulson,Winthrop,2025_10_15,,,0,0,0,0,0,6,4,4,0,0,12,6,50.0,0,9,6.0,0.0,0.0,6.0,players_2025_10_15_Winthrop.pdf
B. Bagshaw,Winthrop,2025_10_15,,,1,1,0,0,0,3,1,1,0,0,14,10,71.4,0,8,1.5,3.0,0.0,4.5,players_2025_10_15_Winthrop.pdf
E. White,Winthrop,2025_10_15,,,3,3,1,0,3,19,8,6,0,2,44,36,81.8,0,28,12.0,10.1,0.0,22.1,players_2025_10_15_Winthrop.pdf
H. Walker,Winthrop,2025_10_15,,,0,0,0,1,0,5,3,6,0,0,31,25,80.6,0,8,7.5,0.5,0.0,8.0,players_2025_10_15_Winthrop.pdf
L. Gill,Winthrop,2025_10_15,,,3,3,2,1,3,4,0,1,0,0,13,8,61.5,0,13,1.0,11.1,0.0,12.1,players_2025_10_15_Winthrop.pdf
M. Lenert,Winthrop,2025_10_15,,,0,0,0,1,1,3,1,5,1,0,13,7,53.8,0,11,6.5,0.7,0.0,7.2,players_2025_10_15_Winthrop.pdf
C. Hughes,Winthrop,2025_10_15,,,1,1,0,0,2,5,3,0,0,0,15,9,60.0,0,13,1.5,3.4,0.0,4.9,players_2025_10_15_Winthrop.pdf
I. Salifu,Winthrop,2025_10_15,,,2,2,0,0,1,10,7,6,1,2,32,27,84.4,0,17,12.5,6.2,0.0,18.7,players_2025_10_15_Winthrop.pdf
S. Bendvold,Winthrop,2025_10_15,,,0,0,0,0,0,2,1,1,0,0,16,9,56.2,0,9,1.5,0.0,0.0,1.5,players_2025_10_15_Winthrop.pdf
J. Barrett,Winthrop,2025_10_15,,,0,0,0,1,2,7,4,1,0,0,13,8,61.5,0,12,3.0,0.9,0.0,3.9,players_2025_10_15_Winthrop.pdf
R. Ray,Winthrop,2025_10_15,,,0,0,0,1,1,4,1,0,0,0,16,8,50.0,0,6,0.5,0.7,0.0,1.2,players_2025_10_15_Winthrop.pdf
P. Dashin,Winthrop,2025_10_15,,,2,2,1,1,0,6,1,0,0,0,6,4,66.7,0,15,0.5,7.0,0.0,7.5,players_2025_10_15_Winthrop.pdf
C. Crockford,Winthrop,2025_10_15,,,0,0,0,0,0,1,0,1,2,0,4,3,75.0,0,4,3.0,0.0,0.0,3.0,players_2025_10_15_Winthrop.pdf
E. Emanuele,Winthrop,2025_10_15,,,0,0,0,0,0,0,0,0,0,0,3,3,100.0,0,0,0.0,0.0,0.0,0.0,players_2025_10_15_Winthrop.pdf
