player,cofc_goals,opp_goals,opponent,date,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score
N. Gold,0,0,Elon Phoenix,18.10.2025,0,0,0,0,0,2,0,4,4,0,45,36,80.0,0,5,8.0,0.0,0.0,8.0
B. Baldwin,0,0,Elon Phoenix,18.10.2025,0,0,0,0,0,6,3,10,6,0,45,37,82.2,0,8,17.5,0.0,0.0,17.5
J. Jordheim,0,0,Elon Phoenix,18.10.2025,0,0,0,0,0,15,10,5,3,2,36,29,80.6,0,22,15.0,0.0,0.0,15.0
R. Watson,0,0,Elon Phoenix,18.10.2025,1,1,0,1,3,8,3,5,1,0,25,12,48.0,0,13,7.5,4.1,0.0,11.6
S. Bendvold,0,0,Elon Phoenix,18.10.2025,2,2,1,0,0,7,6,4,2,0,21,12,57.1,0,14,9.0,6.5,0.0,15.5
E. White,0,0,Elon Phoenix,18.10.2025,0,0,0,0,1,16,10,2,0,3,41,25,61.0,0,27,10.0,0.2,0.0,10.2
D. Toulson,0,0,Elon Phoenix,18.10.2025,0,0,0,1,0,4,2,3,2,1,14,8,57.1,0,7,7.0,0.5,0.0,7.5
L. Gill,0,0,Elon Phoenix,18.10.2025,1,1,0,0,0,1,0,1,0,0,9,7,77.8,0,7,1.0,3.0,0.0,4.0
B. Bagshaw,0,0,Elon Phoenix,18.10.2025,0,0,0,0,0,0,0,1,0,0,9,4,44.4,0,2,1.0,0.0,0.0,1.0
H. Walker,0,0,Elon Phoenix,18.10.2025,0,0,0,0,0,3,0,0,0,0,21,15,71.4,0,9,0.0,0.0,0.0,0.0
M. Lenert,0,0,Elon Phoenix,18.10.2025,2,2,0,0,1,5,1,1,1,0,11,7,63.6,0,8,2.5,6.2,0.0,8.7
J. Barrett,0,0,Elon Phoenix,18.10.2025,0,0,0,0,0,8,5,1,1,0,12,6,50.0,0,11,4.5,0.0,0.0,4.5
I. Salifu,0,0,Elon Phoenix,18.10.2025,0,0,0,0,1,4,3,1,2,0,11,8,72.7,0,9,4.5,0.2,0.0,4.7
P. Dashin,0,0,Elon Phoenix,18.10.2025,0,0,0,0,0,1,1,1,0,0,4,3,75.0,0,4,1.5,0.0,0.0,1.5
C. Crockford,0,0,Elon Phoenix,18.10.2025,0,0,0,0,1,3,1,0,0,1,3,1,33.3,0,3,1.5,0.2,0.0,1.7
