player,matches,goals,shots_on_target,interceptions,clearances,duels_won,aset_score,peak_score,set_score,total_score
E. White,16,11,5,76,23,166,165.0,44.5,0.0,209.5
N. Gold,16,7,2,91,43,143,168.0,23.3,0.0,191.3
M. Lenert,16,30,12,35,14,127,71.5,109.9,0.0,181.4
B. Baldwin,15,4,2,72,47,79,140.0,13.0,0.0,153.0
S. Bendvold,16,20,8,47,10,104,78.0,73.9,0.0,151.9
R. Watson,16,4,0,67,31,111,132.5,17.8,0.0,150.3
D. Toulson,12,4,1,53,27,100,120.0,14.5,0.0,134.5
B. Bagshaw,16,21,10,23,5,67,40.0,77.3,0.0,117.3
L. Gill,16,21,10,21,3,76,32.0,73.6,0.0,105.6
C. Crockford,14,4,1,31,32,46,80.5,13.9,0.0,94.4
J. Jordheim,9,1,0,36,20,73,82.5,3.8,0.0,86.3
I. Salifu,16,5,1,29,7,70,61.0,18.2,0.0,79.2
H. Walker,16,4,2,29,9,99,62.5,16.3,0.0,78.8
P. Dashin,15,15,5,6,2,65,18.5,50.6,0.0,69.1
J. Barrett,13,3,0,26,12,69,57.0,11.2,0.0,68.2
C. Hughes,14,3,0,12,2,58,30.0,16.1,0.0,46.1
E. Emanuele,7,3,2,9,3,19,18.0,10.6,0.0,28.6
J. Watson,9,1,0,12,8,11,23.0,3.0,0.0,26.0
T. Nero,4,0,0,14,5,11,22.5,0.0,0.0,22.5
R. Ray,5,0,0,5,1,13,9.0,1.1,0.0,10.1
A. Duran,2,1,1,0,0,4,0.5,3.9,0.0,4.4
J. Neumann,2,0,0,1,0,5,3.0,0.2,0.0,3.2
R. Cates,1,0,0,0,0,0,0.0,0.0,0.0,0.0
